File,MOS,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate,Content
CSGO_30fps_30sec_Part2_1280x720_1200_x264.mp4,2.88,1280,720,yuvj420p,30,900,8,1200,CSGO_2
CSGO_30fps_30sec_Part2_1280x720_2000_x264.mp4,3.56,1280,720,yuv420p,30,900,8,2000,CSGO_2
CSGO_30fps_30sec_Part2_1280x720_4000_x264.mp4,4.08,1280,720,yuv420p,30,900,8,4000,CSGO_2
CSGO_30fps_30sec_Part2_1280x720_500_x264.mp4,1.44,1280,720,yuvj420p,30,900,8,500,CSGO_2
CSGO_30fps_30sec_Part2_1280x720_600_x264.mp4,1.76,1280,720,yuv420p,30,900,8,600,CSGO_2
CSGO_30fps_30sec_Part2_1920x1080_1200_x264.mp4,1.96,1920,1080,yuvj420p,30,900,8,1200,CSGO_2
CSGO_30fps_30sec_Part2_1920x1080_2000_x264.mp4,2.8,1920,1080,yuv420p,30,900,8,2000,CSGO_2
CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,4.04,1920,1080,yuv420p,30,900,8,4000,CSGO_2
CSGO_30fps_30sec_Part2_1920x1080_600_x264.mp4,1.32,1920,1080,yuv420p,30,900,8,600,CSGO_2
CSGO_30fps_30sec_Part2_1920x1080_750_x264.mp4,1.32,1920,1080,yuvj420p,30,900,8,750,CSGO_2
CSGO_30fps_30sec_Part2_640x480_1200_x264.mp4,2.6,640,480,yuv420p,30,900,8,1200,CSGO_2
CSGO_30fps_30sec_Part2_640x480_2000_x264.mp4,3.28,640,480,yuv420p,30,900,8,2000,CSGO_2
CSGO_30fps_30sec_Part2_640x480_300_x264.mp4,1.8,640,480,yuv420p,30,900,8,300,CSGO_2
CSGO_30fps_30sec_Part2_640x480_4000_x264.mp4,3.24,640,480,yuv420p,30,900,8,4000,CSGO_2
CSGO_30fps_30sec_Part2_640x480_600_x264.mp4,2.08,640,480,yuv420p,30,900,8,600,CSGO_2
FIFA17_30fps_30sec_Part2_1280x720_1200_x264.mp4,3.16,1280,720,yuv420p,30,900,8,1200,FIFA17_2
FIFA17_30fps_30sec_Part2_1280x720_2000_x264.mp4,3.6,1280,720,yuv420p,30,900,8,2000,FIFA17_2
FIFA17_30fps_30sec_Part2_1280x720_4000_x264.mp4,4.12,1280,720,yuv420p,30,900,8,4000,FIFA17_2
FIFA17_30fps_30sec_Part2_1280x720_500_x264.mp4,1.72,1280,720,yuv420p,30,900,8,500,FIFA17_2
FIFA17_30fps_30sec_Part2_1280x720_600_x264.mp4,2.12,1280,720,yuv420p,30,900,8,600,FIFA17_2
FIFA17_30fps_30sec_Part2_1920x1080_1200_x264.mp4,2.44,1920,1080,yuv420p,30,900,8,1200,FIFA17_2
FIFA17_30fps_30sec_Part2_1920x1080_2000_x264.mp4,3.36,1920,1080,yuv420p,30,900,8,2000,FIFA17_2
FIFA17_30fps_30sec_Part2_1920x1080_4000_x264.mp4,4.2,1920,1080,yuv420p,30,900,8,4000,FIFA17_2
FIFA17_30fps_30sec_Part2_1920x1080_600_x264.mp4,1.28,1920,1080,yuv420p,30,900,8,600,FIFA17_2
FIFA17_30fps_30sec_Part2_1920x1080_750_x264.mp4,1.96,1920,1080,yuv420p,30,900,8,750,FIFA17_2
FIFA17_30fps_30sec_Part2_640x480_1200_x264.mp4,2.92,640,480,yuv420p,30,900,8,1200,FIFA17_2
FIFA17_30fps_30sec_Part2_640x480_2000_x264.mp4,2.76,640,480,yuv420p,30,900,8,2000,FIFA17_2
FIFA17_30fps_30sec_Part2_640x480_300_x264.mp4,1.68,640,480,yuv420p,30,900,8,300,FIFA17_2
FIFA17_30fps_30sec_Part2_640x480_4000_x264.mp4,3.04,640,480,yuv420p,30,900,8,4000,FIFA17_2
FIFA17_30fps_30sec_Part2_640x480_600_x264.mp4,2.16,640,480,yuv420p,30,900,8,600,FIFA17_2
H1Z1_30fps_30sec_Part2_1280x720_1200_x264.mp4,2.44,1280,720,yuv420p,30,900,8,1200,H1Z1_2
H1Z1_30fps_30sec_Part2_1280x720_2000_x264.mp4,3.28,1280,720,yuv420p,30,900,8,2000,H1Z1_2
H1Z1_30fps_30sec_Part2_1280x720_4000_x264.mp4,3.52,1280,720,yuv420p,30,900,8,4000,H1Z1_2
H1Z1_30fps_30sec_Part2_1280x720_500_x264.mp4,1.56,1280,720,yuv420p,30,900,8,500,H1Z1_2
H1Z1_30fps_30sec_Part2_1280x720_600_x264.mp4,1.56,1280,720,yuv420p,30,900,8,600,H1Z1_2
H1Z1_30fps_30sec_Part2_1920x1080_1200_x264.mp4,1.92,1920,1080,yuv420p,30,900,8,1200,H1Z1_2
H1Z1_30fps_30sec_Part2_1920x1080_2000_x264.mp4,2.52,1920,1080,yuv420p,30,900,8,2000,H1Z1_2
H1Z1_30fps_30sec_Part2_1920x1080_4000_x264.mp4,3.52,1920,1080,yuv420p,30,900,8,4000,H1Z1_2
H1Z1_30fps_30sec_Part2_1920x1080_600_x264.mp4,1.28,1920,1080,yuv420p,30,900,8,600,H1Z1_2
H1Z1_30fps_30sec_Part2_1920x1080_750_x264.mp4,1.12,1920,1080,yuv420p,30,900,8,750,H1Z1_2
H1Z1_30fps_30sec_Part2_640x480_1200_x264.mp4,2.64,640,480,yuv420p,30,900,8,1200,H1Z1_2
H1Z1_30fps_30sec_Part2_640x480_2000_x264.mp4,2.92,640,480,yuv420p,30,900,8,2000,H1Z1_2
H1Z1_30fps_30sec_Part2_640x480_300_x264.mp4,1.32,640,480,yuv420p,30,900,8,300,H1Z1_2
H1Z1_30fps_30sec_Part2_640x480_4000_x264.mp4,3,640,480,yuv420p,30,900,8,4000,H1Z1_2
H1Z1_30fps_30sec_Part2_640x480_600_x264.mp4,2.2,640,480,yuv420p,30,900,8,600,H1Z1_2
Hearthstone_30fps_30sec_Part1_1280x720_1200_x264.mp4,3.52,1280,720,yuv420p,30,900,8,1200,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1280x720_2000_x264.mp4,3.8,1280,720,yuv420p,30,900,8,2000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1280x720_4000_x264.mp4,3.76,1280,720,yuv420p,30,900,8,4000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1280x720_500_x264.mp4,3.08,1280,720,yuv420p,30,900,8,500,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1280x720_600_x264.mp4,3.32,1280,720,yuv420p,30,900,8,600,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1920x1080_1200_x264.mp4,4.12,1920,1080,yuv420p,30,900,8,1200,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1920x1080_2000_x264.mp4,4.32,1920,1080,yuv420p,30,900,8,2000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1920x1080_4000_x264.mp4,4.72,1920,1080,yuv420p,30,900,8,4000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1920x1080_600_x264.mp4,3.36,1920,1080,yuv420p,30,900,8,600,Hearthstone_1
Hearthstone_30fps_30sec_Part1_1920x1080_750_x264.mp4,3.72,1920,1080,yuvj420p,30,900,8,750,Hearthstone_1
Hearthstone_30fps_30sec_Part1_640x480_1200_x264.mp4,2.48,640,480,yuv420p,30,900,8,1200,Hearthstone_1
Hearthstone_30fps_30sec_Part1_640x480_2000_x264.mp4,2.36,640,480,yuv420p,30,900,8,2000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_640x480_300_x264.mp4,2.08,640,480,yuv420p,30,900,8,300,Hearthstone_1
Hearthstone_30fps_30sec_Part1_640x480_4000_x264.mp4,2.44,640,480,yuv420p,30,900,8,4000,Hearthstone_1
Hearthstone_30fps_30sec_Part1_640x480_600_x264.mp4,2.32,640,480,yuv420p,30,900,8,600,Hearthstone_1
LoL_30fps_30sec_Part2_1280x720_1200_x264.mp4,3.4,1280,720,yuv420p,30,900,8,1200,LoL_2
LoL_30fps_30sec_Part2_1280x720_2000_x264.mp4,3.84,1280,720,yuv420p,30,900,8,2000,LoL_2
LoL_30fps_30sec_Part2_1280x720_4000_x264.mp4,4,1280,720,yuv420p,30,900,8,4000,LoL_2
LoL_30fps_30sec_Part2_1280x720_500_x264.mp4,2.04,1280,720,yuv420p,30,900,8,500,LoL_2
LoL_30fps_30sec_Part2_1280x720_600_x264.mp4,2.52,1280,720,yuvj420p,30,900,8,600,LoL_2
LoL_30fps_30sec_Part2_1920x1080_1200_x264.mp4,3.16,1920,1080,yuv420p,30,900,8,1200,LoL_2
LoL_30fps_30sec_Part2_1920x1080_2000_x264.mp4,4.08,1920,1080,yuv420p,30,900,8,2000,LoL_2
LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,4.48,1920,1080,yuv420p,30,900,8,4000,LoL_2
LoL_30fps_30sec_Part2_1920x1080_600_x264.mp4,1.56,1920,1080,yuv420p,30,900,8,600,LoL_2
LoL_30fps_30sec_Part2_1920x1080_750_x264.mp4,2,1920,1080,yuv420p,30,900,8,750,LoL_2
LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,2.72,640,480,yuv420p,30,900,8,1200,LoL_2
LoL_30fps_30sec_Part2_640x480_2000_x264.mp4,2.92,640,480,yuv420p,30,900,8,2000,LoL_2
LoL_30fps_30sec_Part2_640x480_300_x264.mp4,1.72,640,480,yuv420p,30,900,8,300,LoL_2
LoL_30fps_30sec_Part2_640x480_4000_x264.mp4,2.84,640,480,yuv420p,30,900,8,4000,LoL_2
LoL_30fps_30sec_Part2_640x480_600_x264.mp4,2.52,640,480,yuv420p,30,900,8,600,LoL_2
ProjectCar_30FPS_30Sec_Part2_1280x720_1200_x264.mp4,3.28,1280,720,yuv420p,30,900,8,1200,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1280x720_2000_x264.mp4,3.72,1280,720,yuv420p,30,900,8,2000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1280x720_4000_x264.mp4,4.16,1280,720,yuvj420p,30,900,8,4000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1280x720_500_x264.mp4,2.16,1280,720,yuvj420p,30,900,8,500,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1280x720_600_x264.mp4,2.36,1280,720,yuv420p,30,900,8,600,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1920x1080_1200_x264.mp4,2.72,1920,1080,yuv420p,30,900,8,1200,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1920x1080_2000_x264.mp4,3.44,1920,1080,yuv420p,30,900,8,2000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1920x1080_4000_x264.mp4,4.16,1920,1080,yuv420p,30,900,8,4000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1920x1080_600_x264.mp4,1.52,1920,1080,yuv420p,30,900,8,600,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_1920x1080_750_x264.mp4,1.96,1920,1080,yuv420p,30,900,8,750,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_640x480_1200_x264.mp4,3.16,640,480,yuv420p,30,900,8,1200,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_640x480_2000_x264.mp4,3.52,640,480,yuv420p,30,900,8,2000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_640x480_300_x264.mp4,2.04,640,480,yuv420p,30,900,8,300,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_640x480_4000_x264.mp4,3.52,640,480,yuv420p,30,900,8,4000,ProjectCar_2
ProjectCar_30FPS_30Sec_Part2_640x480_600_x264.mp4,2.76,640,480,yuv420p,30,900,8,600,ProjectCar_2
